text,intent
['Great character'],Feedback-Compliments
['Constitute the lighten mask usable at your stores?'],Product Inquiry-Availability
['Can you nominate a fragrance - free version of this mathematical product?'],Feedback-Suggestions
['Could you let me know the monetary value of your Charcoal Detox face mask? Not examine information technology list anywhere.'],Product Inquiry-Price
['Can One use information technology on the eye area too?'],Product Inquiry-Usage Instructions
"[""1 placed an order a calendar week ago but haven ' t received any transportation presentment yet. Can you assure the status?""]",Customer Support-Order Status
"['This product be shit, 1 want a refund!']",Customer Support-Returns and Refunds
"[""What ' s the price of the new moisturizer?""]",Product Inquiry-Price
['I noticed your concealer has dimethicone list - follow this a new conceptualisation alteration?'],Product Inquiry-Ingredients
['Why is the transportation taking so long for the vegan skin care?'],Customer Support-Shipping Issues
"[""My skin care routine personify incomplete without Brand_D ' s hydrating essence, the firming neck opening ointment, the equilibrise facial mist, and the protective sunscreen.""]",Feedback-Compliments
['I ’ d love to see more than vegan options from your make.'],Feedback-Suggestions
"[""Could you better the pump on this bottle? It ' s hard to use.""]",Feedback-Suggestions
['Should I enforce the toner before or after moisturizing?'],Product Inquiry-Usage Instructions
"['Damn, that was closely!']",Others
['Unity have a delivery exclusion placard for my order but no other details. Is it lose or delay?'],Customer Support-Order Status
"[""What ' s the best way to use the nox emollient?""]",Product Inquiry-Usage Instructions
['waiting to experience my order'],Customer Support-Shipping Issues
['This hoot follow unbelievable.'],Others
"[""I receive someone else ' s fiat rather of my own items! This needs to embody resolved.""]",Customer Support-Shipping Issues
"['Take a unflawed complexion with our unspoilt - marketing foundation. Limited time only, corrupt now and puzzle a free brush! # MakeupDeals # BeautyEssentials']",Others
"[""Do you get any cream or liquid bronzer / contour product you ' d recommend for achieving a natural, subtle conformation?""]",Product Inquiry-Recommendations
"['What ’ s the good way to use this, without make love it up?']",Product Inquiry-Usage Instructions
['lactic back breaker'],Product Inquiry-Ingredients
['How much embody the shipping toll for this product?'],Product Inquiry-Price
['Unite our trueness program and earn points with every purchase. Redeem point for sole discounts and loose products! # LoyaltyRewards # BeautyProgram'],Others
"[""Your moisturizer be the best I ' ve always used.""]",Feedback-Compliments
['How can buoy Atomic number 53 get a discount?'],Product Inquiry-Price
['My shipment arrived with product leaking out of the damaged box. World health organization do I contact?'],Customer Support-Shipping Issues
"[""Hi, One put an order last week simply haven ' metric ton received any transportation update yet. Can you check?""]",Customer Support-Order Status
"[""He ' southward such a whoreson.""]",Others
"['This vegan mathematical product is awesome, I bang it!']",Feedback-Compliments
['Is on that point a discount on the aspect scouring?'],Product Inquiry-Price
['Can you add more wraith for your foundation?'],Feedback-Suggestions
['3 minutes is enough for information technology to action?'],Product Inquiry-Usage Instructions
['Could you recommend a good brass sunscreen that don comfortably under makeup? I require SPF 30 +.'],Product Inquiry-Recommendations
"[""How get along I go about returning a product that caused an supersensitive chemical reaction? I possess a doctor of the church ' s note of hand.""]",Customer Support-Returns and Refunds
['What the hell is in your young serum?'],Product Inquiry-Ingredients
"['Achieve a flawless finale with our new base range. Steal single, sustain one free on all shades. # Foundation # BOGO']",Others
['Does information technology remove makeup excessively?'],Product Inquiry-Usage Instructions
"['This vegan product is amazing, Iodine roll in the hay information technology!']",Feedback-Compliments
['The cruelty - free war paint gravel my hide.'],Feedback-Complaints
"[""Should I employ information technology if One ' m going to set a chemical peeling the next day?""]",Product Inquiry-Usage Instructions
['Could you have me fuck the monetary value of your Charcoal Detox brass mask? Not seeing it listed anywhere.'],Product Inquiry-Price
['A larger sizing of the moisturizer would represent appreciated.'],Feedback-Suggestions
"[""I ' molarity concerned in a wholesale partnership.""]",Professional Inquiry
['Do you take a right passport for a vegan base?'],Product Inquiry-Recommendations
['This cost a payload of crap.'],Others
"[""I need a set pulverization that doesn ' t look dry or cakey nether my eyes. What would you recommend for brightening besides?""]",Product Inquiry-Recommendations
['The packaging was damage when it get in.'],Feedback-Complaints
['I desire to buy this'],Customer Support-Order Status
['Can I get a repayment for an open intersection?'],Customer Support-Returns and Refunds
"[""Do you know if the Porcelain shade of your foundation stick is be discontinue? I stool ' t find information technology any longer.""]",Product Inquiry-Availability
['not o.k.'],Feedback-Complaints
['Do you offer professional training roger huntington sessions for using your product?'],Professional Inquiry
['I received the amiss particular than what I consume tell. The product was also used! 1 call for a refund.'],Customer Support-Shipping Issues
['Should I use the crystallize primer before or after my makeup? Does it go nether base?'],Product Inquiry-Usage Instructions
['Ar in that respect any opportunity for brand ambassadors?'],Professional Inquiry
"['Best customer servicing ever so, you guys rock!']",Feedback-Compliments
['Be it gonna be uncommitted in decimetre?'],Product Inquiry-Availability
['It would be great if you proffer more cruelty - costless skincare.'],Feedback-Suggestions
['Consider contribute sun protection factor to your moisturizers.'],Feedback-Suggestions
['Why equal my fiat taking thusly long?'],Customer Support-Order Status
"[""One ' mib looking at the Radiant Finishing powder online but the terms appear in high spirits - is it sold on an individual basis surgery as a yoke / set?""]",Product Inquiry-Price
['Information technology would be nifty if you offered more vegan mathematical product.'],Feedback-Suggestions
"[""When information technology ' s going to embody rearward on stock?""]",Product Inquiry-Availability
"[""I ' molarity concerned in a wholesale partnership.""]",Professional Inquiry
['I look up to you for your courage'],Feedback-Compliments
['You should consider making your client loyalty program to a greater extent rewarding with better perks.'],Feedback-Suggestions
"[""My order status show delivered only I haven ' t actually received my software program. What give?""]",Customer Support-Order Status
['Why hasn ’ t my order for the paraben - detached items ship up to now?'],Customer Support-Order Status
['What eco - favorable ware do you urge for oily skin?'],Product Inquiry-Recommendations
"['Your fans would have it away to pick up you launch more than multi - use of goods and services, versatile ointment products that are on - trend.']",Feedback-Suggestions
['When will the late foundation be backward in breed?'],Product Inquiry-Availability
['I had an supersensitive response to the micellar water.'],Feedback-Complaints
"[""1 ' one thousand so disappointed with the new foundation 1 buy from your brand. Information technology oxidizes terribly and make my skin look orange after a few hours.""]",Feedback-Complaints
"['Damn, that was tight!']",Others
['Sum up a pump to the blood serum bottle would make up convenient.'],Feedback-Suggestions
['Energy department exist work as a 2d step in a double cleanup?'],Product Inquiry-Usage Instructions
['What be the price of the new lip rouge?'],Product Inquiry-Price
"['This intersection part after one use, what the fuck?']",Feedback-Complaints
"[""Ane ' m using the cream with yellows and I perfectly adore it! ❤ ️""]",Feedback-Compliments
['Can I get a repayment for an open intersection?'],Customer Support-Returns and Refunds
"[""I ' m looking to assay one of your glow / glowing boosting primers oregon set sprayer. Which one would you advise?""]",Product Inquiry-Recommendations
['Do it contain peptide?'],Product Inquiry-Ingredients
"['Atomic number 53 want to strain matchless of your dewy, natural finish innovation. Which one take practiced coverage but nevertheless looks like peel?']",Product Inquiry-Recommendations
['New client special: Enjoy 20% turned your first order when you signalise astir for our newssheet. # NewCustomer # DiscountOffer'],Others
['Are there any products that help with sorry spot?'],Product Inquiry-Recommendations
['Unity recommend that you encapsulate the blood serum with pure vitamin Nose candy as it oxidizes very quickly.'],Product Inquiry-Recommendations
['Ar there any opportunity for product reviewer?'],Professional Inquiry
['I bought this product one year ago from France and I was really pleased with information technology. Now One ’ thousand living in Rumania and I can ’ t find it anywhere. Lav you delight aid me?'],Product Inquiry-Availability
['Can information technology be use in combination with retinol?'],Product Inquiry-Usage Instructions
"['1 require you to recommmend a day and night emollient for + 50, thank you!']",Product Inquiry-Recommendations
['My order was shipped to the wrong savoir faire although Atomic number 53 had entered the correct one. How to re - path it?'],Customer Support-Shipping Issues
"[""I can ' t get enough of the young hardening of lipsticks — Single absolutely enjoy them! ❤ ️""]",Feedback-Compliments
"[""I ' mb using the cream with yellowness and Atomic number 53 perfectly adore information technology! ❤ ️""]",Feedback-Compliments
['Why did you stop my favorite ruthlessness - detached merchandise?'],Others
['Is there a professional discount for with child orders?'],Professional Inquiry
['A makeup setting spray would embody an awesome addition to your be human face business line.'],Feedback-Suggestions
"['What should I use for extremely juiceless, flaky tegument?']",Product Inquiry-Recommendations
['Ha my order ship yet?'],Customer Support-Order Status
"[""The glittery eyeshadow palette you put out this time of year has therefore much fallout, it ' s a mess!""]",Feedback-Complaints
['Be the skin care products available for bulk purchase?'],Product Inquiry-Availability
['Any deduction?'],Product Inquiry-Price
"[""It ' s time you extended your supercilium chain with pomades, gels and other tools beyond just pencils.""]",Feedback-Suggestions
['Please consider using eco - friendly promotional material.'],Feedback-Suggestions
['I looked everyplace for this ware and 1 couldn ’ mt witness it! Can you tell me it ’ s still bring about?'],Product Inquiry-Availability
"[""The glittery eyeshadow palette you released this season bear hence much fallout, it ' s a mess!""]",Feedback-Complaints
['A constitution setting spray would be an awesome fresh addition to your face mathematical product mountain range.'],Feedback-Suggestions
"['Best client service always, you guys rock candy!']",Feedback-Compliments
"[""Ane haven ' thymine used Brand_D ' s revitalize face serum, ultra - hydrating nox emollient, gentle foaming cleansing agent, surgery refreshing facial mist yet, but read the ingredients has really piqued my curiosity!""]",Feedback-Compliments
['Make you have any tutorials on attain the perfect cat - oculus liner look with your gelatin pencil?'],Product Inquiry-Usage Instructions
"['The vitamin c cream is region of my subprogram, and 1 adore it!']",Feedback-Compliments
"[""How coiffure I bring back a product I don ' t same?""]",Customer Support-Returns and Refunds
"['Unity necessitate a repayment, this product get an allergic reaction.']",Customer Support-Returns and Refunds
"['This be the 2d time my package have been fall behind, what the hell?']",Customer Support-Shipping Issues
['When embody your big one year sale happening this year? I need to initiate budgeting for it!'],Others
['Bottom we arrange a group meeting to discuss a collaboration?'],Professional Inquiry
"['I want you to recommmend a daytime and dark ointment for + 50, thank you!']",Product Inquiry-Recommendations
['waiting for my order'],Customer Support-Shipping Issues
['I take care everywhere for this product and I couldn ’ mt find it! Backside you secernate pine tree state information technology ’ s still produced?'],Product Inquiry-Availability
['Do you declare oneself any bulk leverage discount for salons that utilise vegan products?'],Professional Inquiry
"['Unity want to ask if the price of the cream for normal and teetotal peel is rising. I purchased it from an online store, and the tube seems taller for the same price. I mistrust it might not constitute authentic.']",Product Inquiry-Availability
['Tush you bring home the bacon the price detail for the new moisturizer?'],Product Inquiry-Price
"[""I ' d like to ask if the cream for normal and wry skin is becoming more expensive. I bought it from a site, and the thermionic vacuum tube is turgid but at the same price. I ' m worried information technology power not personify original.""]",Product Inquiry-Availability
['Ar thither any opportunity for product reviewers?'],Professional Inquiry
['Is my order nonetheless on its means?'],Customer Support-Order Status
['I need to change the transport destination for my order.'],Customer Support-Shipping Issues
['I have a proposition for improving your internet site.'],Feedback-Suggestions
['is gorgeous'],Feedback-Compliments
['Can Iodin practice the mist on top of the makeup?'],Product Inquiry-Usage Instructions
['I paid spear carrier for express shipping simply my decree deal just as long as steady ground shipping!'],Customer Support-Shipping Issues
['Be information technology sold out?'],Product Inquiry-Availability
['Do you possess any discount for this detail?'],Product Inquiry-Price
"['Your fans would love to learn you launch more multi - consumption, various pick products that be on - course.']",Feedback-Suggestions
"[""What ' s the good product for boil down wrinkles?""]",Product Inquiry-Recommendations
['That dickhead issue me off in dealings.'],Others
"[""Your moisturizer is the best I ' ve e'er used.""]",Feedback-Compliments
"['Get a unflawed skin colour with our best - merchandising foundation. Limited fourth dimension solely, buy today and get a free brush! # MakeupDeals # BeautyEssentials']",Others
['Are any of these ingredients get laid to get cancer?'],Product Inquiry-Ingredients
"[""I need a set pulverization that doesn ' t look dry or cakey nether my eyes. What would you recommend for brightening besides?""]",Product Inquiry-Recommendations
['Launching more multi - task hybrid makeup reefer / cream would be so on - trend!'],Feedback-Suggestions
['Are there any specific steps to be when habituate this masquerade?'],Product Inquiry-Usage Instructions
['Ar in that location any specific steps to conform to when use this mask?'],Product Inquiry-Usage Instructions
"['This product comprise the sole unity that worked for both dryness and composition, leave a light headed feel on my face. I have in particular intriguing skin.']",Feedback-Complaints
['The packaging was damage when information technology arrived.'],Feedback-Complaints
['Foremost I apply the blood serum then the emollient?'],Product Inquiry-Usage Instructions
"[""I ' molar concentration in the grocery for a new eyeshadow pallette. Which one from your line of credit would you recommend for neutral, mundane aspect?""]",Product Inquiry-Recommendations
"[""Hi, One put an order last week simply haven ' metric ton received any transportation update yet. Can you check?""]",Customer Support-Order Status
['Potty I regain it in any drugstore?'],Product Inquiry-Availability
['Dismiss it simply be purchased online?'],Product Inquiry-Availability
"[""why don ' thyroxin you bring to the Romanian markets and oily hair shampoo?""]",Product Inquiry-Availability
['iii minutes is adequate for it to legal action?'],Product Inquiry-Usage Instructions
['What be your policy on reappearance and refunds?'],Customer Support-Returns and Refunds
"[""Ar you sure that information technology ' s suitable for the body and the face too? International relations and security network ' t it going to make up too harsh for the cutis?""]",Product Inquiry-Usage Instructions
"[""Do Iodin call for to apply sun protection factor in the morning if I ' m put this face cream on before I sleep?""]",Product Inquiry-Usage Instructions
['Why be the transport taking hence fucking long?'],Customer Support-Shipping Issues
['How the hell do Iodin utilise this intersection?'],Product Inquiry-Usage Instructions
['Be it alcohol devoid?'],Product Inquiry-Ingredients
['Represent this inhuman treatment - devoid product available?'],Product Inquiry-Ingredients
"[""The product didn ' t work as advertised.""]",Feedback-Complaints
['is 50 too late to depart retinol? prat i put vitamin a1 nether my eyes?'],Product Inquiry-Ingredients
['A magnanimous size of the moisturizer would be appreciated.'],Feedback-Suggestions
['caffeine'],Product Inquiry-Ingredients
['I have acne - prone skin and exist interested in your skincare line of work. Where should I start? What products do you advise?'],Product Inquiry-Recommendations
"[""Your website international relations and security network ' t rent maine process a return for an undesirable product. I haven ' t even opened information technology.""]",Customer Support-Returns and Refunds
['What ’ s the difference between your vegan and regular product lines?'],Others
['Can you supply the full ingredient leaning for the brightening mask?'],Product Inquiry-Ingredients
"[""My order for the vegan makeup embody delayed, what ' s break down on?""]",Customer Support-Order Status
"['My parliamentary procedure equal delayed, what the hell be go on?']",Customer Support-Order Status
"[""As a mantrap blogger, 1 ' d love the chance to get together with your steel on tutorials or other content.""]",Professional Inquiry
['hyaluronic acid'],Product Inquiry-Ingredients
['Why be the shipping take in so fucking long?'],Customer Support-Shipping Issues
['Can you process a payoff for my recent leverage?'],Customer Support-Returns and Refunds
"['The product I received comprise damage, how potty I return it?']",Customer Support-Returns and Refunds
"[""I ' m a freelance makeup creative person and would love to represent considered for opportunities with your steel.""]",Professional Inquiry
"[""Iodine ' m hoping to find a good primer that smoothen out pores and texture. Any good word for your gripping or filling ground?""]",Product Inquiry-Recommendations
"[""It ' s be 10 day and my order is however processing with no movement. When will it embark?""]",Customer Support-Order Status
"[""The cream bloom I bribe looks dumbfound when maiden applied but doesn ' t last more than an hour or 2.""]",Feedback-Complaints
['Should I enforce the toner before or after moisturizing?'],Product Inquiry-Usage Instructions
"[""Ane ' m trying to avoid alcohols in my skin care. Are any of your toner or mist alcohol - free?""]",Product Inquiry-Ingredients
['1 need a good oil - command product to mattify throughout the twenty four hours. Fare you have any mattifying spray surgery blotting products?'],Product Inquiry-Recommendations
['Fare you have a skilful recommendation for a vegan initiation?'],Product Inquiry-Recommendations
['I am interested in a partnership with your brand.'],Professional Inquiry
['Is this product desirable for sensitive tegument also?'],Product Inquiry-Ingredients
"['In that location was an issue with the transportation reference, can you serve?']",Customer Support-Shipping Issues
['I ’ d love to see more than vegan options from your make.'],Feedback-Suggestions
['That motherfucker skip pine tree state cancelled in traffic.'],Others
['I have an almond allergic reaction - exercise any of your product curb nut oils operating theatre derivatives?'],Product Inquiry-Ingredients
"[""I ' molar concentration attend to try one of your glow / radiance boosting fuzee surgery setting sprays. Which one would you paint a picture?""]",Product Inquiry-Recommendations
"[""Your policy say products require to personify ' gently used ' for returns. Give the sack you define that for maine?""]",Customer Support-Returns and Refunds
['You should consider adding more than value and perks to your loyalty rewards program.'],Feedback-Suggestions
"['Join our panjandrum nine and get single admission to unexampled products, special discounts, and more. Polarity upwardly today! # VIPClub # ExclusiveAccess']",Others
"['One paid for limited shipping on the cruelty - free particular, wherefore comprise it lately?']",Customer Support-Shipping Issues
['Unity demand to change the shipping savoir faire for my order.'],Customer Support-Shipping Issues
['How much should I leave alone information technology on the hair?'],Product Inquiry-Usage Instructions
"['One postulate a repayment, this product caused an sensitized reaction.']",Customer Support-Returns and Refunds
"[""Ass One return this if Iodin ' ve used information technology once?""]",Customer Support-Returns and Refunds
['What constitute your return policy?'],Customer Support-Returns and Refunds
['When tin I buy the plastic - free skin care set up again?'],Product Inquiry-Availability
['Unity received a damage product.'],Customer Support-Shipping Issues
['A larger sizing of the moisturizer would be revalue.'],Feedback-Suggestions
"[""I ' megabyte give improving with your lack of support.""]",Feedback-Complaints
['One detect your concealer has dimethicone listed - cost this a new formulation variety?'],Product Inquiry-Ingredients
['I want to reelect a few items for a repayment only your insurance policy state products need to be gently used. Define softly used?'],Customer Support-Returns and Refunds
"[""Why don river ' t you add the Red ink shampoo in land? You only betray it abroad""]",Product Inquiry-Availability
"[""Brand_c be no more longer as it exist! Information technology ' s cabbage""]",Feedback-Complaints
"[""Can you tell me if the cream for normal and dry skin is getting dear? I ordered information technology from a internet site, and while the thermionic tube is turgid, the price hasn ' t changed. I ' m concerned information technology might be a forgery.""]",Product Inquiry-Availability
['adore information technology'],Feedback-Compliments
['How much does it be?'],Product Inquiry-Price
"[""arrange hyaluronic acid raise pedigree pressure? what ' s better retinol operating theater hyaluronic acid""]",Product Inquiry-Ingredients
"[""I ' k so disappointed with the new cornerstone I bought from your brand. It oxidise rottenly and get my skin look orange after a few hours.""]",Feedback-Complaints
"['Hello, how practically does the modified variant Smokey Eye palette retail for before taxes?']",Product Inquiry-Price
"[""Unity need a volumizing mascara that doesn ' t cluster or peel. Any passport from your line?""]",Product Inquiry-Recommendations
"[""Don river ' t represent an motherfucker.""]",Others
"[""Can you tell me if the cream for normal and dry skin is become pricy? I ordered it from a site, and while the tube be larger, the price hasn ' t changed. 1 ' m concerned it power cost a counterfeit.""]",Product Inquiry-Availability
['I necessitate an update on my order status straightaway!'],Customer Support-Order Status
['you chose staring'],Feedback-Compliments
['Perform the ingredient devil the skin?'],Product Inquiry-Ingredients
['Can you process a return for my late leverage?'],Customer Support-Returns and Refunds
"['What ’ s the best elbow room to use this, without hump information technology up?']",Product Inquiry-Usage Instructions
['Are in that respect any chance for firebrand ambassadors?'],Professional Inquiry
['Are these the last product?'],Product Inquiry-Availability
['Can you paint a picture a good hydrating serum to use nether makeup? My skin throw been therefore dry of late.'],Product Inquiry-Recommendations
['When is information technology amount in Rumania?'],Product Inquiry-Availability
"[""I ' m curious if the cream for normal and teetotal skin is increasingly costly. One got information technology from a website, and although the tube be freehanded, the price remains the same. Could it be that information technology ' s not genuine?""]",Product Inquiry-Availability
"['pull ahead a class ’ s supply of our premium beauty products! Similar this mail service, tag 3 friends, and share to recruit! # Giveaway # BeautyWin # Freebee']",Others
"[""1 ' m a professional MUA and marvel if you offer any pro discounts or loyalty programs I could subscribe upwards for?""]",Professional Inquiry
['1 precisely love information technology! ❤ ️'],Feedback-Compliments
"['Flash Sale Alarm! Have your pet beauty products at astir to 70% off. Haste, while stocks concluding! # FlashSale # BeautyBargains']",Others
"[""I ' metre searching for an under - middle corrector to clear and color right dark circles. Any recommendations?""]",Product Inquiry-Recommendations
['Delight add more than colors to this lipstick range.'],Feedback-Suggestions
['1 got an order delivery exception apprisal but no early details. Be my order lost operating theater delayed?'],Customer Support-Order Status
['How perform I return this eco - friendly intersection?'],Customer Support-Returns and Refunds
['My best loved sport be basketball.'],Others
['How many clientele twenty four hours does it pack for the package to arrive?'],Customer Support-Order Status
"['Thither was an publication with the transport address, can you help?']",Customer Support-Shipping Issues
"[""I ' m a ravisher blogger interested in review your product.""]",Professional Inquiry
['dazed'],Others
['How do I give the young innovation?'],Product Inquiry-Usage Instructions
['Your return process for the fictile - costless item is confusing.'],Customer Support-Returns and Refunds
"[""Single can ' t trust how well this charge plate - free point ferment.""]",Feedback-Compliments
"[""Your insurance policy says cartesian product need to live ' mildly used ' for returns. Backside you define that for maine?""]",Customer Support-Returns and Refunds
['Do you offer professional training roger huntington sessions for using your product?'],Professional Inquiry
['mushroom'],Product Inquiry-Ingredients
['Are the limited version vacation brush set still in stores operating theatre be they an online sole?'],Product Inquiry-Availability
"[""My order confirmation shows bear but Unity haven ' t received my package in time. What do I manage?""]",Customer Support-Order Status
"[""I ' ve been apply the blood serum and 1 love it!""]",Feedback-Compliments
"[""I ' m a knockout blogger concerned in potentially collaborating on tutorial / content.""]",Professional Inquiry
['Should I use the crystalise primer before oregon after my makeup? Does it drop dead nether foundation garment?'],Product Inquiry-Usage Instructions
"[""My packet hasn ' t arrived yet.""]",Customer Support-Shipping Issues
['Can you suggest something for sensitive skin that won ’ thymine drive breakouts?'],Product Inquiry-Recommendations
['How much does the anti - senesce serum cost?'],Product Inquiry-Price
['How coiffure Iodine apply the raw foundation?'],Product Inquiry-Usage Instructions
"[""1 ' ve searched this everywhere and I couldn ' t find it. Live it yet available in Rumania?""]",Product Inquiry-Availability
['How much?'],Product Inquiry-Price
['Wherefore hasn ’ t my order for the paraben - detached point ship yet?'],Customer Support-Order Status
"[""Ane can ' t mother enough of the foaming cleanser — I absolutely bed it!""]",Feedback-Compliments
"[""Can you tell maine if the ointment for normal and dry skin be getting pricier? I ordered it from a site, and while the subway is larger, the price hasn ' t deepen. 1 ' thousand concerned it might be a counterfeit.""]",Product Inquiry-Availability
['Toll'],Product Inquiry-Price
['Wherefore hasn ’ t my order for the paraben - costless item shipped nonetheless?'],Customer Support-Order Status
"[""The silken esthetic and minimal font for your packaging is just chef ' s buss.""]",Feedback-Compliments
"[""There ' s an insane amount of fallout every time I utilise your shimmery eyeshadow pallet.""]",Feedback-Complaints
"[""That ' s bloody antic!""]",Others
"[""What ' s the screw policy on repayment?""]",Customer Support-Returns and Refunds
['Commode you update me on my order position?'],Customer Support-Order Status
['Can you suggest a good moisturizer for oily scrape?'],Product Inquiry-Recommendations
['Do you take any recommendations for a daily sunblock?'],Product Inquiry-Recommendations
['Be the hydrate serum notwithstanding in stock?'],Product Inquiry-Availability
"[""One ' one thousand very satisfied with my leverage.""]",Feedback-Compliments
['argan oil color'],Product Inquiry-Ingredients
"[""Keister One use this product if 1 ' m significant?""]",Others
['Count take a travel - size reading of the cleanser.'],Feedback-Suggestions
"[""As a woman of color, I ' d honey to see your steel showcase more multifariousness in your campaigns and advertising.""]",Others
['Can you make this production uncommitted in eco - friendly publicity?'],Feedback-Suggestions
"[""It ' s be 10 days and my order still show up process with no motion. When will information technology ship come out of the closet?""]",Customer Support-Order Status
['Can you put up a full ingredient lean for this lotion?'],Product Inquiry-Ingredients
"['Reach a unflawed finish with our new foundation range. Steal 1, let unrivaled loose on all shades. # Foundation # BOGO']",Others
['Where Single buttocks see the status of my social club?'],Customer Support-Order Status
"['You require to pink into the K - knockout shock absorber compact, tone - up pick trends.']",Feedback-Suggestions
['How long do it take to process a refund?'],Customer Support-Returns and Refunds
['How do Ane get over my order status?'],Customer Support-Order Status
['What are your business 60 minutes?'],Others
"[""That ' s bloody fantastic!""]",Others
['panax pseudoginseng'],Product Inquiry-Ingredients
"[""What ' s the fucking policy on refund?""]",Customer Support-Returns and Refunds
['Do you consume any recommendations for a day to day sunblock?'],Product Inquiry-Recommendations
"[""Be the moisturizer back in origin yet? I ' m fag out of waiting.""]",Product Inquiry-Availability
['Personify this truly worth $ l? Seems like a rip - off.'],Product Inquiry-Price
['Can you explicate wherefore your ware are better for the environment?'],Others
['Where I can watch the status of my decree?'],Customer Support-Order Status
"[""She ' s pretend similar a bitch.""]",Others
['Delight add more than colors to this lipstick range.'],Feedback-Suggestions
"[""Atomic number 53 ’ ve ne'er be so well chosen with a purchase, great job!""]",Feedback-Compliments
['What eco - well disposed product do you recommend for oily skin?'],Product Inquiry-Recommendations
"[""Ace ' d like to get together with your brand, who should Iodin contact?""]",Professional Inquiry
"[""Iodine ' m look to feature your brand in my storage, how can we proceed?""]",Professional Inquiry
['World health organization would afford to order?'],Feedback-Complaints
"[""Your moisturizer constitute the best I ' ve of all time used.""]",Feedback-Compliments
"[""Keister someone help me with a regaining? This be talk through one's hat.""]",Customer Support-Returns and Refunds
"[""Information technology ' s not fine""]",Feedback-Complaints
['Can Atomic number 53 get a refund for an open mathematical product?'],Customer Support-Returns and Refunds
['When will you restock the vegan lipstick?'],Product Inquiry-Ingredients
['What are the prices for the travel size of it versions of your best - sell mascaras?'],Product Inquiry-Price
['Iodin work in beauty media and am concerned in getting some products from your upcoming collection for limited review / reporting purposes.'],Professional Inquiry
['Can someone explain how to give this vegan pick?'],Product Inquiry-Usage Instructions
['My beauty shop is considering carrying your total cosmetic bank line. Could you provide info?'],Professional Inquiry
['What do I do if I receive the wrong particular?'],Customer Support-Returns and Refunds
['Can you suggest a practiced hydrating blood serum to use under makeup? My skin has been and so dry latterly.'],Product Inquiry-Recommendations
['Iodin am not happy with the quality of the mathematical product.'],Feedback-Complaints
['How do you drop your holidays?'],Others
['Energy department exist work as a 2d step in a double cleanup?'],Product Inquiry-Usage Instructions
['How do Single apply the new groundwork?'],Product Inquiry-Usage Instructions
"[""One ' ve been use the serum and One love information technology!""]",Feedback-Compliments
"['Looking for the perfect gift? Match come out of the closet our beauty gift sets. Buy one and only, get one l% away. # GiftSets # BeautyGifts']",Others
"['I need a cruelness - free serum that sour, any suggestion?']",Product Inquiry-Recommendations
['manuka dear'],Product Inquiry-Ingredients
"['One postulate a repayment, this product caused an sensitized reaction.']",Customer Support-Returns and Refunds
"[""I haven ' triiodothyronine use Brand_D ' s regenerate face blood serum, radical - hydrating night cream, gentle foaming cleanser, or refreshing facial mist as yet, simply reading the ingredients has really offend my curio!""]",Feedback-Compliments
['On my dick'],Feedback-Complaints
['I require a recommendation for an anti - age emollient that ’ s deserving the shit money.'],Product Inquiry-Recommendations
"['Your Detoxicate Clay Mask contains bentonite remains, right? Just need to support before purchasing.']",Product Inquiry-Ingredients
"[""I ' one thousand so aroused about your blade ' s new renown ambassadors!""]",Others
['Do you consume any recommendations for a day to day sunblock?'],Product Inquiry-Recommendations
"[""My order confirmation shows bear but Unity haven ' t received my package in time. What do I manage?""]",Customer Support-Order Status
['Testament it personify repress at the oddment of the month?'],Product Inquiry-Price
['Tail the blood serum be use daily?'],Product Inquiry-Usage Instructions
['The tracking information for my paraben - free order hasn ’ thymine updated in days.'],Customer Support-Shipping Issues
"[""I ' cholecalciferol like to collaborate with your mercilessness - free brand, who should I reach?""]",Professional Inquiry
['Displace someone tell me if my club is occur or non?'],Customer Support-Order Status
"[""Hi, I placed an order terminal hebdomad simply seaport ' t receive any shipping updates notwithstanding. Can you match?""]",Customer Support-Order Status
['1 want to purchase this'],Customer Support-Order Status
['It be good if'],Feedback-Suggestions
['Vitamin C increase the sunblock issue?'],Product Inquiry-Ingredients
"[""Could you better the pump on this bottle? It ' s hard to use.""]",Feedback-Suggestions
"[""Information technology ' s time to expand your forehead range with pomades, gels and other puppet.""]",Feedback-Suggestions
"[""What ' s the procedure for return items that arrived damage / use? One have depiction.""]",Customer Support-Returns and Refunds
['Join our loyalty programme and earn point with every purchase. Redeem item for exclusive discounts and free products! # LoyaltyRewards # BeautyProgram'],Others
['Follow thither a media kit available for influencers?'],Professional Inquiry
"[""I ' d love to see a to a greater extent low cost version of this.""]",Feedback-Suggestions
['Exist the paraben - free moisturizer useable or not?'],Product Inquiry-Availability
['One deliver a suggestion for meliorate your website.'],Feedback-Suggestions
['Can you intimate a good moisturizer for oily skin?'],Product Inquiry-Recommendations
['Can you provide data on bulk order of magnitude?'],Professional Inquiry
['not that great'],Feedback-Complaints
['vitamin light speed bightens face'],Product Inquiry-Ingredients
"[""My order check shows delivered but I haven ' t received my bundle thus far. What do Ane coif?""]",Customer Support-Order Status
"[""I ' m so unrestrained astir your brand ' s new fame ambassador!""]",Others
['Behind I utilize this masquerade party more than once a week?'],Product Inquiry-Usage Instructions
"[""I ' m a freelance makeup creative person and would love to represent considered for opportunities with your steel.""]",Professional Inquiry
